datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-29 01:20:01	12484	96322	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:02	NULL	NULL	102094	29967	18566	3109	21491	1821	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3782	3461	3109	222	1153	3109	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 01:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	318	684	277	20	100	NULL
2019-04-29 01:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2600
2019-04-29 02:20:00	NULL	96310	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:01	12487	NULL	102112	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 02:20:02	NULL	NULL	NULL	29972	18565	3109	21491	1821	NULL	3462	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 03:20:03	12488	96329	102140	29972	18571	3109	21490	1821	3780	3462	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 03:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3109	222	1153	3109	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 03:20:05	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	317	684	277	20	100	2600
